xxx	xxx	xxx	Куш оолдары дег уязындан ужуп үнүпкеннер.
36	74	i	Орус дылдан өске кандыг дылдар билир сен?
36	76	i	Хемни кежилдир көвүрүг тургускан.
37	79	ii	Мен силерниң чугаалааныңар ёзугаар кылдым.
38	83	i	Кырын кижи аштап каанзыг дош хүнге чайыннап чыткан.
39	85	i	Мен чагаа алдым. 
39	85	i	Бистер ам-даа келбедивис.
39	85	ii	Сен сүт иштиң бе?
39	86	i	Мен башкылап тур мен.
39	86	i	Сен кажан төрүттүнген сен?
41	89	i	Ол кинону көрген мен.
41	89	i	Ол кинону көрдүм.
41	89	ii	Ол меңээ ном берген.
41	89	ii	Мен аңаа ном бердим.
41	89	iii	Дүүн эки удудум.
41	89	iv	Аныяк тургаш эки удаан мен.
41	90	i	Ол улус чедип кээр.
41	90	i	Он уруг келир.
41	90	ii	Бо улус мени билир. 
41	90	ii	Ажылдаар мен.
41	91	i	Сүт ижип тур мен. 
41	91	i	Сүт ижип турар мен.
41	91	ii	Ам техникумда башкылап тур мен.
42	91	iii	Амырагым сактып олур мен.
42	91	iv	Поездиден озалдавас төлээде, далажып чор мен.
43	96	i	Ол ырны ырлаптар мен.
43	96	i	Ол ырны ырлаар мен.
43	96	ii	Мен ырлаптар мен.
44	96	iv	Хар болза эскериптер мен.
44	97	i	Сен мени дүүн көржүк сен бе?
44	97	ii	Ийе, өөренип бар чорааш сени көржүк мен.
44	97	v	Сугга дүже бержик, ирги бе азы каржы бөрүлер алгаш баржыктар ирги бе?
45	98	i	Школаны дооскалаам силерге билдингир.
45	98	iv	Бажынга четкелек чорумда чаъс чаап келди.
45	99	i	Номум чидирип алыр частым.
46	101	i	Школа соонда орус номнар номчувастап калган мен.
46	101	ii	Номчувастааным ужурундан шылгалданы багай дужаадым.
46	101	iii	Чагааны шеригче бижип турган мен, ам бижиксевестээн мен.
46	102	i	Олар ону биживестей бергеннер. 
46	102	ii	Мен ол номну номчувастай бердим. 
46	102	iii	Мен тыва хүреш-биле сургуул кылбастай бээримге ачам хомудаан.
47	104	i	Ашкаң четсе, чемден садып ал.
47	104	ii	Кажан кино баар апарзыңарза мени эдертип алыр силер.
47	104	iii	Чааскаан болзумза аас-кежиим кайдал?
47	104	iv	Ыыт ээре берзе-ле.
47	104	v	Кажан хар чаарын соксадыпса, аңнап эгелей бээр бис
47	105	i	Бир эвес кырган ашак водка ижер болза, ол ыры ырлаар.
47	105	ii	Бир эвес мен ол бажыңны тывар болзумза меңээ өөрүнчүг болур ийик.
48	106	i	Бис силерниң-биле биче хөөрешсе дээш келген улус бис.
48	107	i	Бир эвес домактың кол сөзү чок.
48	108	i	Мен аныяк-даа болзумза ол кижини таныыр мен.
48	108	iii	Өг иштинде улус шыгырт долу-даа болза, кезек када шыпшың турган.
51	112	viii	Мөнгүн-Тайгага сарлык көрген-дир мен.
52	116	i	Сен ол номну номчувайн турар болганыңда, мен ону алыйн.
52	116	ii	Сен клубче барбааныңда, мен база бажыңга олурайн.
53	120	ii	Кажан ол бажыңны тып алзывысса өөрүнчүг болур ийик.
53	121	i	Кожа кылаштажып чораан дег бис.
53	121	ii	Ынчангаш кижи башкының салыпкы дег бүгү айтырыгларынга белеткенир апаар.
53	121	iii	Бо аргадан ырак эвес-ле шык бар болгу дег.
53	122	i	Номчувадым. 
53	122	i	Номчуваан мен.
53	122	iii	Ажылдап турар машинага дегбе!
54	122	iv	Кижи келгеш мен ынаар бар албадым.
54	124	i	Сен ол номну номчувайн турар болганыңда, мен ону алыйн.
54	124	ii	Олар чоруй барган төлээде далашпайн барып болур турган.
54	125	i	Уранмаа класс эжинге дидим эвес кылаштап чеде берген.
54	126	i	Менде үш ном чок. 
54	126	i	Менде үш оол чок. 
54	126	i	Мээң үш оглум чок.
54	126	ii	Мээң беш адым чок. 
54	126	ii	Мээң беш адым турган.
54	123	ii	Мал кадарып чорааш удуп болбас.
54	123	ii	Авам бажыңда чок.
54	123	iv	Авам бажыңга турбаан. 
54	123	iv	Авам бажыңга турбас.
56	129	i	Мен Кызылда чурттап тур мен.
56	129	i	Дүрген халып тур мен.
56	xxx	i	Школага эң-не баштай келген бичии кижилер «школачы мен»-деп чоргаарал-биле чугаалажыр.
57	129	ii	Москвалап чоруур мен. 
57	129	ii	Инек саап тур мен.
57	129	iii	Минуталап номчу!
57	129	iii	Сигеннеп кааптывыс.
57	130	i	Чаштар удуп, дыштанзыннар.
57	131	i	Маңнар бар чыткан.
57	132	i	Бижип кааптым.
57	132	iv	Оол олура дуңмазы-биле ойнап олурган.
58	133	i	Кызыл чоруп оргаш орукка хойну көрдүм.
58	133	ii	Хойну көрүп кааш ап алдым.
58	133	iii	Келгештиң, менче долгавыт.
58	133	iv	Номну номчааш, ол кижиниң чуртталгазын шуптузун билип алдым.
58	133	v	Оон Кара-кыс хүлүмзүрүй каапкаш, чугаалап эгелээн.
58	133	vi	Кижи келгеш мен ынаар бар албадым.
58	133	vi	Дүүн ол кижи кеттинип алгаштың, чемненип алгаштың, чунуп алгаштың школаже чорупкан.
59	133	i	Бичиимде сайзанактап чораан черлеримни көргеш.
59	136	i	Ачам заводка ажылдаала чээрби чыл ашкан.
59	136	ii	Мээң ада-ием моон чоруткала чээрби чыл ажа берген.
59	137	i	Олар ам-даа библиотекада олурбушаан номчунуп олурарлар.
59	137	ii	Сен ол номну номчувушаан сен бе? 
59	137	iii	Номчуп турбушаан, чемненип турдум.
60	137	iv	Чемненип оргаш, номчувушаан мен. 
60	137	v	Авам ырлавышаан инээн саап олур. 
60	137	vi	Ол менче көрбүшаан олур. 
60	137	vi	Номчувушаан тур. 
60	137	vii	Ол кижи картинаже ам-даа көрбүшаан.
60	138	i	Авазы уруун чемгербишаан чугаалажып олур. 
60	138	ii	Оглу ачазынга эттеттирип турда авазы ыглап турган.
60	139	i	Бир дугаар келген кижи. 
60	139	i	Эң дүрген маңнаан кижи.
60	139	iii	Ажылын дооскалак улус маңаа демдегледип алыңар.
60	139	iv	Ынчангаш кижи башкының салыпкы дег бүгү айтырыгларынга белеткенир аппар.
61	140	i	Билирим черлер көстүп келгилээн.
61	141	i	Мээң белекке бергеним ышкаш аржыыл-дыр.
61	141	ii	Шаанда бистиң чурттап турганывыс черде школа тудуп каан.
61	142	i	Школаны дооскалаам силерге билдингир.
61	143	i	Мен ажылдаарым бо-дур. 
61	143	ii	Мен ажылдап турарым бо.
61	144	i	Чазын школа тарап турар үеде Агылыг суурнуң эң улуг байы мен болур мен.
61	144	ii	Хар эрип эгелээр өйде кара-баарзыктар ужуп келирлер.
61	144	iii	Боду келир ужун бижик ытпады.
62	145	i	Аалымга каш хонук турар үемде суурда авамның бажыңын септеп туруп берген мен.
62	145	i	Бажыңын септеп туруп берген мен.
62	145	ii	Бис чемненип олурар аравыста, бир кижи ийи катап соктады.
62	146	i	
62	146	ii	Ол бижий албас.
62	147	i	Ам чедип аар мен.
62	147	i	Бижип аар мен.
63	148	i	Бораңнап эгелээн болганда, бис чоруур аппарган бис.
63	149	i	Ол бижий соксап барган.
63	149	ii	Чугаалажып олурган уруглар шимээн барды.
63	151	i	Уранмаа класс эжиинге дидим эвес кылыштап чеде берген.
63	151	ii	Ол аразында бичии уруглар кышкырыжа берген.
63	151	iii	Аарый бергенимни билип кагдым.
63	153	i	Бистер ойнап чыдар бис.
64	153	ii	Олар ойнап чыдарлар
64	154	i	Шаанда ийи алышкы чораан. 
64	154	ii	Амыдырал дугайында бодап чор мен. 
64	154	iii	Соктап каап чораан. 
64	154	iv	Сен бичии туруңда сеңээ ырлар ырлап берип чораан мен.
64	155	i	Номчуп эгелей берген.
64	155	ii	Ол улустар ойнап эгелей берген.
64	155	iii	Оон Кара-кыс хүлүмзүрүй каапкаш, чугаалап эгелээн.
64	156	i	Ол кинону көрүп каан мен.
65	156	ii	Шай куткулай кааптым. 
65	156	iii	Аарый бергенимни билип кагдым.
65	157	i	Номчуп көр. 
65	157	ii	Бо хемге балыктап көрдүвүс.
65	158	i	Чугаалажып олурган уруглар шимээн барды.
65	159	i	Сени сактып тур мен.
65	159	i	Халып тур мен.
65	160	i	Аарый бээримни билип турдум.
66	161	i	Олар ойнап болур турган. 
66	161	i	Келген турган. 
66	161	ii	Ырлавышаан турган сен. 
66	161	ii	Өөренмишаан турган мен.	
66	162	i	Авам бажыңга турбаан. 
66	162	i	Авам бажыңга турбас. 
66	162	ii	Менде үш ном чок турган.
66	163	i	Аъттар кылаштажы бергеннер, оон доктаап турупканнар.
66	164	i	Ол кижи ам-даа өөренип турар. 
66	164	i	Ол ам-даа өөренип турар. 
66	164	ii	Олар ам-даа өөренип турарлар.
67	167	i	Биске билдинмес болду. 
67	167	ii	Аян даарта меңээ келир болду. 
67	167	iii	Бичии уруг, буттары өл чораан болгаш, аарый берген боор. 
67	167	iv	Бир эвес мен ол бажыңны тывар болзумза меңээ өөрүнчүг болур ийик.
67	167	v	Бир эвес бо бажыңны тып алган турган болзумза мен амыраар турган мен.
67	168	i	Мен ойнап болур мен. 
67	168	i	Олар ойнап болур турган. 
67	168	ii	Олар өрээлге кирип болур турган. 
67	168	iii	Мал кадарып чорааш удуп болбас.
68	169	i	Кожа аалга баарымга кижи чок боорга удувайн-даа чаныпкан мен.
68	170	i	Бичии уруг, буттары өл чораан болгаш, аарый берген боор. 
68	170	ii	Чаяан-дөс ойнап турган боор ийин.
69	172	i	Хлеб бар бе? 
69	172	i	Хлеб бар. 
69	172	i	Хлеб бар-дыр. 
69	172	i	Хлеб чок. 
69	172	i	Хлеб чок-тур.
69	173	i	Номда канчаар бижээн-дир, ынчаар билип ал.
69	174	i	Бо бажыңда он үш квартира бар. 
69	174	ii	Келбес мен, чүге дээрге чайым чок. 
69	174	iii	Менде үш ном чок турган. 
69	174	iv	Аң келир болза, караңгызы кедергей оран-дыр. 
69	174	v	Тывалар-даа орустар-даа шупту бир дөмей кижилер.
70	175	i	Мен өргелерниң ынчалдыр чыккылаарын билир кижи мен.
70	175	ii	Бүгүмнү бодумга ап чоруур кижи мен.
70	176	i	Ынчалза-даа директор кижи дүжүрер дугайында айтырыгны бөгүн мында чугаалашпайн турар улус бис. 
70	176	ii	Бис силерниң-биле биче хөөрешсе дээш келген улус бис.
70	177	i	Ол бистиинче хүннүң келир чүве.
70	177	ii	Мээң аас-кежик чогумдан шупту чүве болган.
70	178	ii	Мен бо номну силерниң бажыңыңарда көрдүм.
71	178	iii	Ол кижи биске бо номну берген.
71	179	i	Хүн чырыдар болгаш чылыдар. 
71	179	ii	Хат хадаан база чаъс чагган.
71	180	i	Кандан биле Орланның хары дең.
71	180	ii	Абакан биле Кызылдың аразы. 
71	181	i	Баргаш келдим.
72	182	i	Сээң дүлгүүрлер чидирип алганың ужурундан мен бажыңче ийи шак иштинде кирип шыдавайн тур мен.
72	182	ii	Мээң келгенимге ачам амыраар аажок өөрүүр боор деп бодаан мен.
72	183	i	Сен чорууруң мурнунда мен сээң-биле чугаалажыксап тур мен.
72	184	i	Сени бажыңда чок дээринден өске аңаа чүнү-даа чугаалавадым.
72	185	i	Билирим черлер көстүп келгилээн.
72	185	ii	Шаанда бистиң чурттап турганывыс черде школа тудуп каан.
73	186	ii	Мен келгенимде ажылдаар мен. 
73	186	iii	Мен хорадаанымда чаңым багай. 
73	186	iv	Мен чемненгенимде хаван-на мен.
73	187	i	Боду келир ужун бижик ытпады. 
73	187	ii	Мен корга берген болгаш бөрүнү өлүрүп шыдаваан мен.
73	188	i	Ол бажыңны тып алган соонда, ол аажок өөрүнчүг. 
73	188	ii	Соок болган ужурунда, кидис идик кедип алдым. 
73	188	iii	Мен орай келген ужурумда авам чедир удуваан.
74	190	i	Аңнаашкын дугайында чугаалажырывыстың мурнунда, бис үр-ле шайлап олурдувус.
74	192	i	Кижи келгеш, мен ынаар бар албадым. 
74	192	ii	Хем улгаткаш паром чорбастаан.
74	192	iii	Өөредилгем дооскужемче маңаа чурттаар мен.
74	192	iv	Ачам заводка ажылдаала чээрби чыл ашкан.
75	193	i	Ол келген деп дыңнадым. 
75	193	ii	Олар келир деп дыңнадым. 
75	193	iii	Чаъстыг деп бодадым. 
75	193	iv	Тонум чараш деп болур. 
75	193	v	Тывада агаар-бойдус изиг деп билдим. 
75	193	vi	Ол кижини чараш деп санаар мен. 
75	194	i	Дыңнадым олар келир деп. 
75	195	i	Ол мээң чагаамны алган деп идегеп олур мен. 
75	195	ii	Номнарны эккеп каар болганыңга идегеп тур мен.
76	196	i	Уйгузун хандыр удуп алзыннар дээш, кадарып олур мен. 
76	196	ii	Мен оларга шаптык катпас дээш бажыңче кирип келдим.
76	197	i	Ачай, бис инек саалы дээш. 
76	197	ii	Ону берзе бе дээш --дээш, үнүп чыдыр. 
76	197	iii	Даарта оглум кыс эдертип эккээр деп турар. 
76	197	iv	Сеңээ мурнунда-ла чугаалаар дээн мен.
76	198	i	Кажан кино баар апарзыңарза мени эдертип алыр силер.
76	199	i	Будум аарып турза-даа ажылымче чоруп тур мен.
76	199	ii	Өг иштинде улус шыгырт долу-даа болза, кезек када шыпшың турган.
77	200	i	Имир дүшкүже, катка элик кедеп олурдум.
77	200	ii	Өөредилгем дооскужемче маңаа чурттаар мен.
77	200	iii	Мен бо шөлдү кескижемче сен суглап эккел.
77	200	iv	Караңгыга олургуже лаадан кыпсып алыылы.
77	201	i	Ол бажыңны тыва алган соонда, ол аажок өөрүнчүг. 
77	202	i	Сээң дүлгүүрлер чыдырып алганың ужурундан мен бажыңче ийи шак иштинде кирип шыдавайн тур мен.
78	203	i	Ооң ындыг дүрген чоруй барганы бисти элдепсиндирген. 
78	203	ii	Ыт чемгерери --сээң херээң.
78	204	i	Бис бүгү чүвени сээң чугаалааның ёзугаар кылган бис. 
78	205	i	Мен ол кинону көргеним ол. 
78	205	ii	Олар ол кино көргени ол бе?
78	206	i	Мен билбес мен кайнаар баар мен.
78	207	i	Номчувастааным ужурундан шылгалданы багай дужаадым. 
78	207	ii	Салгын келгенинден бөрүлер шылырткайны берген. 
78	207	iii	Балыктың улуг болганындан мен уштуп безин чадап каан мен.
79	208	i	Иванны шеригже аппарганындан, кым-даа оон чагаа албаан. 
79	208	ii	Ол бажыңны тып алгаштан дыка өөрүшкү болган.
79	209	i	Чай эгелээнден бээр, оглум бажыңга шуут олурбастаан. 
79	209	ii	Сени бажыңда чок дээринден өске аңаа чүнү-даа чугаалавадым. 
79	209	iii	Силер мээң чугаалап турганымдан аңгы кылганыңарда, айыыл болду.
79	210	i	Орус чоннарының бажыңнарынче чоокшулай кылаштаарындан коргар болгаш чүгле ырактан бараан хараар турган мен.
79	211	i	Бистиң манап турганывыстан ол эрте келген. 
79	211	ii	Бөгүнге чедир ажылдаанывыстан-даа эки ажылдаарывысты маргылдашканывыс херээ чок боор.
80	212	i	Чугааларын билир мен.
80	212	ii	Дайынның чүге эгелээнин билбес мен. 
80	212	iii	Сээң шаандакы ырларны ырлаарыңны мен дыңнаваан мен. 
80	212	iv	Чайның эрткенин эскербедим.
80	213	i	Ооң дириг үнеринге бүзүрээр мен.
80	213	ii	Мээң келгенимге ачам амыраар аажок өөрүүр боор деп бодаан мен.
80	213	iii	Бистиң бодалдарывысты дыңнаваанынга хомудаар-дыр бис.
80	214	i	Улуг хүнде аңнап чоруурунга кым-даа удур эвес болган.
80	215	i	Хүн үнүп кээрге чер чырып кээр. 
80	215	ii	Уругга номну тутсуп бээримге.
81	217	i	А шак ынчалдыр кызып какпаска, хырның кажан-даа тотпас болгай.
81	218	i	Аалчылар чыглып келиринге чедир ам-даа солуй кеттинип четтигиптер мен.
81	219	i	Ооң амырап турарының ужуру база-ла билдингир. 
81	219	ii	Машина чок болганының хараазында.
81	220	i	Аңнаашкын дугайында чугаалажырывыстың мурнунда, бис үр-ле шайлап олурдувус.
81	220	ii	Сен чорууруң мурнунда, мен сээң-биле чугаалажыксап тур мен.
82	221	i	Дүүн ол кижи кеттине алгаштың чемнене алгаштың чуна алгаштың школага чорупкан или школаже.
82	221	ii	Сени тая бээр деп корткаштың мен сени холуңдан сегирип алдым. 	
82	221	iii	Сээң чоруп олурарыңны көргештиң мен үне бердим.
82	222	ii	Хар эривээнде, бис лыжалыг аңнаар турган бис.
82	222	iii	Ийи хонганда, Бадый акымдан айтырдым.
82	223	i	Бажынга четкелек чорумда чаъс чаап келди. 
82	223	ii	Мен ам-даа төрүттүнмээнимде. 
82	223	iii	Бис удуй бергенивисте, бире-ле кижи хемевисти аппарган.
82	223	iv	Сен клубче барбааныңда, мен база бажыңга олурайн.
82	223	v	Силер мээң чугаалап турганымдан аңгы кылганыңарда, айыыл болду.
82	223	vi	Мен баштай чолаачылап турумда, Тывага чазалыг орук чок турган.
83	224	i	Ай үнгелекте бис артка чоокшулап келген бис. 
83	224	ii	Сат чугаазын төндүргелекте, Козулина үзе кирипкен.
83	226	i	Агаар чок болганы-биле маңаа хонар болган-дыр бис.
83	226	ii	Оолдуг болганың-биле байыр чедирип тур мен.
84	227	i	Биске дузалаары-биле келгеннер.
84	228	i	Авазы уруунуң оттуп келгенин-биле тыртып каан.
87	239	i	Хам-на-дыр. 
87	239	i	Ажылдап-ла турган мен.
87	241	i	Авам бажыңда-даа чок.
87	241	ii	Тывалар-даа орустар-даа шупту бир дөмей кижилер.
87	241	iii	Бир эвес айтырыг бар болза, меңээ дүне-даа болза кээп туруңар. 
87	241	iv	Мен аныяк-таа болзумза ол кижини таныыр мен.
88	242	i	Мээң-биле баар сен бе? 
88	242	i	Ачам-биле ажылдаар мен.
88	242	ii	Мен тыва хүреш-биле сургуул кылбастай бээримге ачам хомудаан.
88	243	i	Авазы уруунуң оттуп келгенин-биле тыртып каан.
88	244	i	Улуг очерк репортажтарны бижип шыдапкы дег, күштүг идегел мээң сагыш сеткилимни амыратпайн туруп берген.
88	245	i	Бир шакта минута кажыл? 
88	245	i	Сенде чүү барыл? 
88	245	ii	Школа бажыңы кандыгыл? 
88	245	ii	Тарааны кажан кезерил? 
88	245	iii	Бир хонук каш шактыг болурул? 
88	245	iii	Бо чүүл? 
88	245	iv	Бөгүн кайы хире соогул? 
88	245	v	Өскези сеңээ кандыг хамаан чүвел.
88	245	vi	Хат кайыын хадыырыл, чаъс оон келир. 
88	245	vii	Кым үр чурттаарыл, ол хөйнү көөр.
89	246	i	Мен-дир мен.
89	246	ii	Мен артар мен.
89	246	ii	Мен артар-дыр мен.
89	246	iii	Бөгүн соок-тур.
89	246	iii	Бөгүн соок-тур бе?
89	246	iv	Чок-тур.
89	246	iv	Бар-дыр.
89	246	v	Мөнгүн-Тайгага сарлык көрген-дир мен.
89	247	i	Олуруп ап болур мен бе?
90	248	i	Кызылдың автобузу беш шакта келир ышкажыл але?
90	249	i	Сиген кезер чораан оолдар-дыр моң.
90	250	i	Келирим чадавас.
90	250	i	Келирим магатчок.
90	250	ii	Билир ыйнаан.
